"Warning, this is for regression testing",10.95,2,30,1
"Warning, this is for regression testing",12.99,2,30,1
"Warning, this is for regression testing",15.87,2,30,1
"Warning, this is for regression testing",16.52,2,30,1
"Warning, this is for regression testing",17.64,2,30,1
"Warning, this is for regression testing",17.78,2,30,1
"Warning, this is for regression testing",18.51,2,30,1
"Warning, this is for regression testing",19.07,2,30,1
"Warning, this is for regression testing",19.66,2,30,1
"Warning, this is for regression testing",20.03,2,30,1
"Warning, this is for regression testing",20.32,2,30,1
"Warning, this is for regression testing",20.85,2,30,1
"Warning, this is for regression testing",20.98,2,30,1
"Warning, this is for regression testing",21.05,2,30,1
"Warning, this is for regression testing",21.26,2,30,1
"Warning, this is for regression testing",21.37,2,30,1
"Warning, this is for regression testing",21.38,2,30,1
"Warning, this is for regression testing",21.44,2,30,1
"Warning, this is for regression testing",21.45,2,30,1
"Warning, this is for regression testing",21.47,2,30,1
"Warning, this is for regression testing",21.67,2,30,1
"Warning, this is for regression testing",21.80,2,30,1
"Warning, this is for regression testing",21.80,2,30,1
"Warning, this is for regression testing",22.00,2,30,1
"Warning, this is for regression testing",22.50,2,30,1
"Warning, this is for regression testing",22.51,2,30,1
"Warning, this is for regression testing",22.57,2,30,1
"Warning, this is for regression testing",22.71,2,30,1
"Warning, this is for regression testing",22.75,2,30,1
"Warning, this is for regression testing",22.91,2,30,1
"Warning, this is for regression testing",22.93,2,30,1
"Warning, this is for regression testing",22.94,2,30,1
"Warning, this is for regression testing",22.98,2,30,1
"Warning, this is for regression testing",22.98,2,30,1
"Warning, this is for regression testing",23.05,2,30,1
"Warning, this is for regression testing",23.06,2,30,1
"Warning, this is for regression testing",23.19,2,30,1
"Warning, this is for regression testing",23.25,2,30,1
"Warning, this is for regression testing",23.26,2,30,1
"Warning, this is for regression testing",23.32,2,30,1
"Warning, this is for regression testing",23.55,2,30,1
"Warning, this is for regression testing",23.59,2,30,1
"Warning, this is for regression testing",23.67,2,30,1
"Warning, this is for regression testing",23.73,2,30,1
"Warning, this is for regression testing",23.79,2,30,1
"Warning, this is for regression testing",23.89,2,30,1
"Warning, this is for regression testing",24.18,2,30,1
"Warning, this is for regression testing",24.34,2,30,1
"Warning, this is for regression testing",24.38,2,30,1
"Warning, this is for regression testing",24.56,2,30,1
"Warning, this is for regression testing",24.58,2,30,1
"Warning, this is for regression testing",24.62,2,30,1
