"Warning, this is for regression testing",8.06,0,2,30,1
"Warning, this is for regression testing",10.53,0,2,30,1
"Warning, this is for regression testing",12.67,0,2,30,1
"Warning, this is for regression testing",15.53,0,2,30,1
"Warning, this is for regression testing",16.92,0,2,30,1
"Warning, this is for regression testing",17.23,0,2,30,1
"Warning, this is for regression testing",17.43,0,2,30,1
"Warning, this is for regression testing",17.84,0,2,30,1
"Warning, this is for regression testing",19.28,0,2,30,1
"Warning, this is for regression testing",19.44,0,2,30,1
"Warning, this is for regression testing",19.82,0,2,30,1
"Warning, this is for regression testing",19.98,0,2,30,1
"Warning, this is for regression testing",20.16,0,2,30,1
"Warning, this is for regression testing",20.18,0,2,30,1
"Warning, this is for regression testing",20.53,0,2,30,1
"Warning, this is for regression testing",20.59,0,2,30,1
"Warning, this is for regression testing",20.72,0,2,30,1
"Warning, this is for regression testing",20.77,0,2,30,1
"Warning, this is for regression testing",20.86,0,2,30,1
"Warning, this is for regression testing",20.99,0,2,30,1
"Warning, this is for regression testing",21.41,0,2,30,1
"Warning, this is for regression testing",21.47,0,2,30,1
"Warning, this is for regression testing",21.52,0,2,30,1
"Warning, this is for regression testing",21.52,0,2,30,1
"Warning, this is for regression testing",21.63,0,2,30,1
"Warning, this is for regression testing",21.64,0,2,30,1
"Warning, this is for regression testing",21.84,0,2,30,1
"Warning, this is for regression testing",21.85,0,2,30,1
"Warning, this is for regression testing",21.86,0,2,30,1
"Warning, this is for regression testing",22.10,0,2,30,1
"Warning, this is for regression testing",22.10,0,2,30,1
"Warning, this is for regression testing",22.13,0,2,30,1
"Warning, this is for regression testing",22.16,0,2,30,1
"Warning, this is for regression testing",22.20,0,2,30,1
"Warning, this is for regression testing",22.26,0,2,30,1
"Warning, this is for regression testing",22.82,0,2,30,1
"Warning, this is for regression testing",23.01,0,2,30,1
"Warning, this is for regression testing",23.11,0,2,30,1
"Warning, this is for regression testing",23.41,0,2,30,1
"Warning, this is for regression testing",23.49,0,2,30,1
"Warning, this is for regression testing",23.61,0,2,30,1
"Warning, this is for regression testing",23.67,0,2,30,1
"Warning, this is for regression testing",23.68,0,2,30,1
"Warning, this is for regression testing",23.72,0,2,30,1
"Warning, this is for regression testing",23.81,0,2,30,1
"Warning, this is for regression testing",23.87,0,2,30,1
"Warning, this is for regression testing",23.93,0,2,30,1
"Warning, this is for regression testing",23.93,0,2,30,1
"Warning, this is for regression testing",23.94,0,2,30,1
"Warning, this is for regression testing",24.04,0,2,30,1
"Warning, this is for regression testing",24.13,0,2,30,1
"Warning, this is for regression testing",24.14,0,2,30,1
"Warning, this is for regression testing",24.14,0,2,30,1
"Warning, this is for regression testing",24.21,0,2,30,1
"Warning, this is for regression testing",24.29,0,2,30,1
"Warning, this is for regression testing",24.33,0,2,30,1
"Warning, this is for regression testing",24.37,0,2,30,1
"Warning, this is for regression testing",24.62,0,2,30,1
"Warning, this is for regression testing",24.68,0,2,30,1
"Warning, this is for regression testing",24.71,0,2,30,1
"Warning, this is for regression testing",24.75,0,2,30,1
"Warning, this is for regression testing",24.82,0,2,30,1
"Warning, this is for regression testing",24.84,0,2,30,1
"Warning, this is for regression testing",24.84,0,2,30,1
"Warning, this is for regression testing",24.94,0,2,30,1
"Warning, this is for regression testing",24.95,0,2,30,1
"Warning, this is for regression testing",24.97,0,2,30,1
"Warning, this is for regression testing",25.03,0,2,30,1
"Warning, this is for regression testing",25.22,0,2,30,1
"Warning, this is for regression testing",25.33,0,2,30,1
"Warning, this is for regression testing",25.38,0,2,30,1
"Warning, this is for regression testing",25.40,0,2,30,1
"Warning, this is for regression testing",25.44,0,2,30,1
"Warning, this is for regression testing",25.45,0,2,30,1
"Warning, this is for regression testing",25.48,0,2,30,1
"Warning, this is for regression testing",25.55,0,2,30,1
"Warning, this is for regression testing",25.56,0,2,30,1
"Warning, this is for regression testing",25.63,0,2,30,1
"Warning, this is for regression testing",25.67,0,2,30,1
"Warning, this is for regression testing",25.68,0,2,30,1
"Warning, this is for regression testing",25.70,0,2,30,1
"Warning, this is for regression testing",25.70,0,2,30,1
"Warning, this is for regression testing",25.72,0,2,30,1
"Warning, this is for regression testing",25.72,0,2,30,1
"Warning, this is for regression testing",25.82,0,2,30,1
"Warning, this is for regression testing",25.83,0,2,30,1
"Warning, this is for regression testing",25.85,0,2,30,1
"Warning, this is for regression testing",25.91,0,2,30,1
"Warning, this is for regression testing",25.96,0,2,30,1
"Warning, this is for regression testing",26.00,0,2,30,1
"Warning, this is for regression testing",26.00,0,2,30,1
"Warning, this is for regression testing",26.20,0,2,30,1
